sample_gene_ids,start,end
ENST00000518655,13661,14409
ENST00000438504,17915,18061
ENST00000541675,17233,17364
ENST00000423562,16607,16765
ENST00000488147,15796,15947
ENST00000538476,15000,15038
ENST00000473358,30976,31097
ENST00000469289,30976,31109
